본부,지사,노선,name,종별구분,이정(km),상부형식,GPS좌표 X,GPS좌표 Y
광주전남본부,보성지사,남해선(영암순천),도안1교(순천),2종,63.85,PSCI형교(PSCI),34.811013122,127.137362159
광주전남본부,보성지사,남해선(영암순천),도안1교(영암),2종,63.85,PSCI형교(PSCI),34.811013122,127.137362159
광주전남본부,보성지사,남해선(영암순천),도안2교,기타,64.68,파형강판교,34.808446869,127.147836939
광주전남본부,보성지사,남해선(영암순천),독천교(순천),2종,3.2,PSCI형교(PSCI),34.738202304,126.550273192
광주전남본부,보성지사,남해선(영암순천),독천교(영암),3종,3.25,PSCI형교(PSCI),34.738202304,126.550273192
광주전남본부,보성지사,남해선(영암순천),동룡천교(순천),2종,92.12,PSCI형교(PSCI),34.854122588,127.408598658
광주전남본부,보성지사,남해선(영암순천),동룡천교(영암),2종,92.14,PSCI형교(PSCI),34.854122588,127.408598658
광주전남본부,보성지사,남해선(영암순천),두고교(순천),기타,94.21,라멘교(RA),34.866572833,127.424030029
광주전남본부,보성지사,남해선(영암순천),두고교(영암),기타,94.22,라멘교(RA),34.866572833,127.424030029
광주전남본부,보성지사,남해선(영암순천),두평교(순천),2종,86.25,프리플렉스형교(PF),34.824508851,127.363195019
광주전남본부,보성지사,남해선(영암순천),두평교(영암),2종,86.19,프리플렉스형교(PF),34.824508851,127.363195019
광주전남본부,보성지사,남해선(영암순천),마동교,1종,80.53,PSC박스형교(PSCB),34.832824704,127.312351166
광주전남본부,보성지사,남해선(영암순천),명봉교(순천),3종,58.2,PSCI형교(PSCI),34.812231943,127.072743602
광주전남본부,보성지사,남해선(영암순천),명봉교(영암),3종,58.27,PSCI형교(PSCI),34.812231943,127.072743602
광주전남본부,보성지사,남해선(영암순천),명산교,기타,22.52,파형강판교,34.695683559,126.751725664
광주전남본부,보성지사,남해선(영암순천),묵동1교,기타,13.96,라멘교(RA),34.704642568,126.656686952
광주전남본부,보성지사,남해선(영암순천),묵동2교,기타,14.28,파형강판교,34.704642568,126.656686952
광주전남본부,보성지사,남해선(영암순천),배산천교(순천),2종,48,PSCI형교(PSCI),34.756256956,126.991217146
광주전남본부,보성지사,남해선(영암순천),배산천교(영암),2종,48,PSCI형교(PSCI),34.756256956,126.991217146
광주전남본부,보성지사,남해선(영암순천),벌교IC교(순천),3종,79.69,PSCI형교(PSCI),34.834837426,127.301826827
광주전남본부,보성지사,남해선(영암순천),벌교IC교(영암),3종,79.69,PSCI형교(PSCI),34.834837426,127.301826827
광주전남본부,보성지사,남해선(영암순천),벌교대교,1종,87.82,PSC박스형교(PSCB),34.824499742,127.384742438
광주전남본부,보성지사,남해선(영암순천),보성IC1교,2종,60.29,PSCI형교(PSCI),34.814542678,127.094057546
광주전남본부,보성지사,남해선(영암순천),보성IC2교,기타,61.2,라멘교(RA),34.813948871,127.104954274
광주전남본부,보성지사,남해선(영암순천),보성IC교(순천),3종,61.18,PSCI형교(PSCI),34.813948871,127.104954274
광주전남본부,보성지사,남해선(영암순천),보성IC교(영암),3종,61.18,PSCI형교(PSCI),34.813948871,127.104954274
광주전남본부,보성지사,남해선(영암순천),보성대곡교(순천),2종,72.94,PSCI형교(PSCI),34.828500376,127.22611425
광주전남본부,보성지사,남해선(영암순천),보성대곡교(영암),2종,72.96,PSCI형교(PSCI),34.828500376,127.22611425
광주전남본부,보성지사,남해선(영암순천),보성대교(순천),1종,59.98,PSC박스형교(PSCB),34.814542678,127.094057546
광주전남본부,보성지사,남해선(영암순천),보성대교(영암),1종,59.98,PSC박스형교(PSCB),34.814542678,127.094057546
광주전남본부,보성지사,남해선(영암순천),보성신월1교(순천),2종,76.01,PSCI형교(PSCI),34.829530635,127.258839762
광주전남본부,보성지사,남해선(영암순천),보성신월1교(영암),2종,76.02,PSCI형교(PSCI),34.829530635,127.258839762
광주전남본부,보성지사,남해선(영암순천),보성신월2교(순천),1종,76.79,강판형교(SPG),34.831606124,127.269472165
광주전남본부,보성지사,남해선(영암순천),보성신월2교(영암),1종,76.85,강판형교(SPG),34.831606124,127.269472165
광주전남본부,보성지사,남해선(영암순천),보성용정육교(진입),3종,60.55,프리플렉스형교(PF),34.813948871,127.104954274
광주전남본부,보성지사,남해선(영암순천),보성용정육교(진출),3종,60.55,프리플렉스형교(PF),34.813948871,127.104954274
광주전남본부,보성지사,남해선(영암순천),봉림교(순천),2종,96.36,PSCI형교(PSCI),34.878616949,127.440234656
광주전남본부,보성지사,남해선(영암순천),봉림교(영암),2종,96.34,PSCI형교(PSCI),34.878616949,127.440234656
광주전남본부,보성지사,남해선(영암순천),부산천교(순천),2종,44.34,PSCI형교(PSCI),34.734741372,126.957333288
광주전남본부,보성지사,남해선(영암순천),부산천교(영암),2종,44.33,PSCI형교(PSCI),34.734741372,126.957333288
광주전남본부,보성지사,남해선(영암순천),부춘1교(순천),3종,39.14,PSCI형교(PSCI),34.71072988,126.913690553
광주전남본부,보성지사,남해선(영암순천),부춘1교(영암),3종,39.14,PSCI형교(PSCI),34.71072988,126.913690553
광주전남본부,보성지사,남해선(영암순천),부춘2교(순천),2종,39.38,PSCI형교(PSCI),34.713583511,126.924043107
광주전남본부,보성지사,남해선(영암순천),부춘2교(영암),2종,39.37,PSCI형교(PSCI),34.713583511,126.924043107
광주전남본부,보성지사,남해선(영암순천),상월1교(순천),3종,9.9,PSCI형교(PSCI),34.722483059,126.623082054
광주전남본부,보성지사,남해선(영암순천),상월1교(영암),3종,9.9,PSCI형교(PSCI),34.722483059,126.623082054
광주전남본부,보성지사,남해선(영암순천),상월2교(순천),3종,10.12,PSCI형교(PSCI),34.722483059,126.623082054
광주전남본부,보성지사,남해선(영암순천),상월2교(영암),3종,10.12,PSCI형교(PSCI),34.722483059,126.623082054
광주전남본부,보성지사,남해선(영암순천),상월천교(순천),2종,11.33,PSCI형교(PSCI),34.714604315,126.628103422
광주전남본부,보성지사,남해선(영암순천),상월천교(영암),2종,11.34,PSCI형교(PSCI),34.714604315,126.628103422
광주전남본부,보성지사,남해선(영암순천),서영암IC1교,3종,0.51,강박스형교(STB),34.749085749,126.533087384
광주전남본부,보성지사,남해선(영암순천),서영암IC교(순천),3종,0.36,PSCI형교(PSCI),34.757211764,126.528624322
광주전남본부,보성지사,남해선(영암순천),서영암IC교(영암),3종,0.36,PSCI형교(PSCI),34.757211764,126.528624322
광주전남본부,보성지사,남해선(영암순천),서호학산IC교,기타,5.3,라멘교(RA),34.736857654,126.571897376
광주전남본부,보성지사,남해선(영암순천),성불교(순천),2종,33.2,PSCI형교(PSCI),34.687399073,126.855226227
광주전남본부,보성지사,남해선(영암순천),성불교(영암),2종,33.2,PSCI형교(PSCI),34.687399073,126.855226227
광주전남본부,보성지사,남해선(영암순천),성전교(순천),1종,18.79,강박스형교(STB) + PSCI형교(PSCI),34.697387275,126.709299674
광주전남본부,보성지사,남해선(영암순천),성전교(영암),1종,18.79,강박스형교(STB) + PSCI형교(PSCI),34.697387275,126.709299674
광주전남본부,보성지사,남해선(영암순천),성전육교,3종,19.55,PSCI형교(PSCI),34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),송기교(순천),기타,92.69,라멘교(RA),34.86118243,127.415265895
광주전남본부,보성지사,남해선(영암순천),송기교(영암),기타,92.71,라멘교(RA),34.86118243,127.415265895
광주전남본부,보성지사,남해선(영암순천),수남1교(순천),2종,66.85,PSCI형교(PSCI),34.805448045,127.169366773
